file_name,text,sent_count,word_count,char_count,avg_word,stopwords_count,text_no_stop,dig_count,upper_count,text_no_stop_special
110CYL069.txt,"      November 15, 1996       Dear Personal Donor:       In the short while since Goodwill helped him find his job, Robert has       learned to thoroughly clean a motel room in about 40 minutes. His job       objectives call for him to do it in 30.       He has no time to waste.       Neither do we. With the help of friends like you, Goodwill has       continued to adapt our services to meet the human needs of our changing       society.       We don't waste time as we are helping the community. And we don't       waste money. The gift that I am asking you to make will be used to       continue our mission of helping people prepare for, find and keep       jobs.       In their December, 1995 review of the nation's best charities, U.S.       News & World Report called Goodwill one of the five ""Standout Good       Guys."" The magazine stated that Goodwill (as well as the other standouts)       is ""uniquely effective, innovative or valuable.""       While I appreciate U.S. News & World Report's endorsement, the       true value of your support is measured by the way Goodwill takes on       problems that affect all of us.       Every time we help someone find a solution to their employment       barrier, the positive effects radiate throughout our community: The       business community welcomes not only another worker, but a consumer with       increased purchasing power. Parents act as role models of       self-sufficiency instead of dependency. Tax dollars that would have been       spent on public assistance are saved.       You and I know that solutions to difficult problems don't just happen.       At Goodwill, it is the hard work of staff and those who benefit from our       services that produces the kind of inspiring results I see every day:       A Goodwill staff member addresses a group of welfare recipients: ""You       can earn the money to support yourself and your family,"" she says. ""You       can get off welfare. I know you can... I did.""       A participant in a Goodwill program rushes back from a job interview       to share the results with his classmates in our desktop publishing       training program. once his tears have subsided, he confirms what his       classmates have already figured out: he just received a job offer -- his       first in five years.       Addressing a meeting at a neighborhood center, a Goodwill staff member       tells the audience how Goodwill can help them find and keep jobs. On his       way home, he shares the story with four people at a street corner. At the       next corner he tells five more.       In order to develop job skills, a man with some serious disabilities       begins working in Goodwill's industrial division. It takes a long time       for him to gain the self-confidence to work elsewhere in the community.       Eventually, he turns your support into a payoff for all of us. He proudly       leaves Goodwill to support himself.       These people and their successes are real. Just like the respect we've       earned from U.S. News & World Report. Just like the impact Goodwill's       work has on our community.       Real work. Real results. A real difference in people's lives -- in all       of our lives.       The people who can benefit most directly from your generosity have no       time to waste. Neither do the rest of us who feel the positive results of       their success. Your support helps provide real solutions.       Please use the enclosed response card and envelope to give generously       to Goodwill today.       Sincerely,       Jack Dustman Board Member and Former Chairman",39,565,3609,4.77,208,"november 15, 1996 dear personal donor: in short since goodwill helped find job, robert learned thoroughly clean motel room 40 minutes. his job objectives call 30. he time waste. neither we. with help friends like you, goodwill continued adapt services meet human needs changing society. we waste time helping community. and waste money. the gift i asking make used continue mission helping people prepare for, find keep jobs. in december, 1995 review nation's best charities, u.s. news & world report called goodwill one five ""standout good guys."" the magazine stated goodwill (as well standouts) ""uniquely effective, innovative valuable."" while i appreciate u.s. news & world report's endorsement, true value support measured way goodwill takes problems affect us. every time help someone find solution employment barrier, positive effects radiate throughout community: the business community welcomes another worker, consumer increased purchasing power. parents act role models self-sufficiency instead dependency. tax dollars would spent public assistance saved. you i know solutions difficult problems happen. at goodwill, hard work staff benefit services produces kind inspiring results i see every day: a goodwill staff member addresses group welfare recipients: ""you earn money support family,"" says. ""you get welfare. i know can... i did."" a participant goodwill program rushes back job interview share results classmates desktop publishing training program. tears subsided, confirms classmates already figured out: received job offer -- first five years. addressing meeting neighborhood center, goodwill staff member tells audience goodwill help find keep jobs. on way home, shares story four people street corner. at next corner tells five more. in order develop job skills, man serious disabilities begins working goodwill's industrial division. it takes long time gain self-confidence work elsewhere community. eventually, turns support payoff us. he proudly leaves goodwill support himself. these people successes real. just like respect we've earned u.s. news & world report. just like impact goodwill's work community. real work. real results. a real difference people's lives -- lives. the people benefit directly generosity time waste. neither rest us feel positive results success. your support helps provide real solutions. please use enclosed response card envelope give generously goodwill today. sincerely, jack dustman board member former chairman",14,12,november 15 1996 dear personal donor in short since goodwill helped find job robert learned thoroughly clean motel room 40 minutes his job objectives call 30 he time waste neither we with help friends like you goodwill continued adapt services meet human needs changing society we waste time helping community and waste money the gift i asking make used continue mission helping people prepare for find keep jobs in december 1995 review nation s best charities u s news world report called goodwill one five standout good guys the magazine stated goodwill as well standouts uniquely effective innovative valuable while i appreciate u s news world report s endorsement true value support measured way goodwill takes problems affect us every time help someone find solution employment barrier positive effects radiate throughout community the business community welcomes another worker consumer increased purchasing power parents act role models self sufficiency instead dependency tax dollars would spent public assistance saved you i know solutions difficult problems happen at goodwill hard work staff benefit services produces kind inspiring results i see every day a goodwill staff member addresses group welfare recipients you earn money support family says you get welfare i know can i did a participant goodwill program rushes back job interview share results classmates desktop publishing training program tears subsided confirms classmates already figured out received job offer first five years addressing meeting neighborhood center goodwill staff member tells audience goodwill help find keep jobs on way home shares story four people street corner at next corner tells five more in order develop job skills man serious disabilities begins working goodwill s industrial division it takes long time gain self confidence work elsewhere community eventually turns support payoff us he proudly leaves goodwill support himself these people successes real just like respect we ve earned u s news world report just like impact goodwill s work community real work real results a real difference people s lives lives the people benefit directly generosity time waste neither rest us feel positive results success your support helps provide real solutions please use enclosed response card envelope give generously goodwill today sincerely jack dustman board member former chairman
110CYL068.txt,"      Dear ,       A few months ago you received a letter from me telling the success       stories of people who got jobs with Goodwill's help.       Here's another story of success from what might seem like an unlikely       source: Goodwill's controller, Juli. She tells me that the 3,666 people       we helped find jobs in 1998 earned approximately $49 million dollars. In       addition to that, by helping them find jobs, Goodwill reduced the state's       Public Support tab by an estimated $4 million. Your gift to Goodwill will       help us do even more this year because your gift will be used to directly       support our work.       What kind of work does Goodwill do?       Goodwill finds jobs for people with mental and physical disabilities.       After Maureen's job coach taught her how to do her job in a restaurant,       we helped Maureen step out of the shadow sometimes cast over people with       physical and mental disabilities and find a fulfilling job smack dab in       the middle of society. Remember what she said in my last letter? ""If I       wasn't working here...I would be sad...""       Goodwill helps people get off of public assistance. Sherry learned       through our Future Works class that she could rise out of the mire of the       welfare system and support her family. At Goodwill she gained in       self-confidence, in her vision of her future and in the job skills she       needed to find and keep a good job. ""Coming to Goodwill was the first       step toward my becoming totally independent. I am now... totally off of       welfare.""       Goodwill prepares people for life-long employment. Cornell found a       number of employment options that he never dreamed existed after a       work-site injury forced him out of his job at a foundry. He trained in       desktop publishing and combined his enthusiastic work ethic with       new-found skills in a burgeoning industry. ""I've got more than a job;       I've got a career.""       Goodwill provides jobs at Goodwill. After a lifetime of trials, Donna       not only earned her GED at Goodwill, she earned a job here. ""I rode a       bike to Goodwill in the rain and snow. I wanted to be there...I had my       second chance to change my life.""       Your gift to Goodwill will help the many people who want to tell their       own stories of success. Your support will help them go to work.       Please use the enclosed envelope to give a generous gift to Goodwill       today!       Sincerely,       William A Carter, Chairman Goodwill Industries Foundation       P.S. Your gift is a wise investment in the community. For every dollar       donated to Goodwill in 1998, we helped our ""graduates"" earn an estimated       $102. That money was then spent in a variety of ways, adding fuel to our       thriving economy.",29,449,2829,4.71,172,"dear , a months ago received letter telling success stories people got jobs goodwill's help. here's another story success might seem like unlikely source: goodwill's controller, juli. she tells 3,666 people helped find jobs 1998 earned approximately $49 million dollars. in addition that, helping find jobs, goodwill reduced state's public support tab estimated $4 million. your gift goodwill help us even year gift used directly support work. what kind work goodwill do? goodwill finds jobs people mental physical disabilities. after maureen's job coach taught job restaurant, helped maureen step shadow sometimes cast people physical mental disabilities find fulfilling job smack dab middle society. remember said last letter? ""if i working here...i would sad..."" goodwill helps people get public assistance. sherry learned future works class could rise mire welfare system support family. at goodwill gained self-confidence, vision future job skills needed find keep good job. ""coming goodwill first step toward becoming totally independent. i now... totally welfare."" goodwill prepares people life-long employment. cornell found number employment options never dreamed existed work-site injury forced job foundry. he trained desktop publishing combined enthusiastic work ethic new-found skills burgeoning industry. ""i've got job; i've got career."" goodwill provides jobs goodwill. after lifetime trials, donna earned ged goodwill, earned job here. ""i rode bike goodwill rain snow. i wanted there...i second chance change life."" your gift goodwill help many people want tell stories success. your support help go work. please use enclosed envelope give generous gift goodwill today! sincerely, william a carter, chairman goodwill industries foundation p.s. your gift wise investment community. for every dollar donated goodwill 1998, helped ""graduates"" earn estimated $102. that money spent variety ways, adding fuel thriving economy.",18,8,dear a months ago received letter telling success stories people got jobs goodwill s help here s another story success might seem like unlikely source goodwill s controller juli she tells 3 666 people helped find jobs 1998 earned approximately 49 million dollars in addition that helping find jobs goodwill reduced state s public support tab estimated 4 million your gift goodwill help us even year gift used directly support work what kind work goodwill do goodwill finds jobs people mental physical disabilities after maureen s job coach taught job restaurant helped maureen step shadow sometimes cast people physical mental disabilities find fulfilling job smack dab middle society remember said last letter if i working here i would sad goodwill helps people get public assistance sherry learned future works class could rise mire welfare system support family at goodwill gained self confidence vision future job skills needed find keep good job coming goodwill first step toward becoming totally independent i now totally welfare goodwill prepares people life long employment cornell found number employment options never dreamed existed work site injury forced job foundry he trained desktop publishing combined enthusiastic work ethic new found skills burgeoning industry i ve got job i ve got career goodwill provides jobs goodwill after lifetime trials donna earned ged goodwill earned job here i rode bike goodwill rain snow i wanted there i second chance change life your gift goodwill help many people want tell stories success your support help go work please use enclosed envelope give generous gift goodwill today sincerely william a carter chairman goodwill industries foundation p s your gift wise investment community for every dollar donated goodwill 1998 helped graduates earn estimated 102 that money spent variety ways adding fuel thriving economy
115CVL035.txt,"      July30,1999       Name Address City, ST Zip       Dear Mr. Ratcliff:       CCI is a federation of 13 neighborhood-based multi-service centers       whose mission is to identify and meet the human service needs of       residents throughout Marion County in the most effective, efficient and       comprehensive way possible. In 1998, we served a total of 31,484       low-income individuals through job training and placement assistance,       youth and senior programming, family counseling, emergency assistance,       and much more.       As you can see from the enclosed map, your Target store is located in       the heart of four of our service areas. The centers that serve these       areas, Mary Rigg Neighborhood Center, Hawthorne Community Center,       Southwest Multi-Service Center, and Christamore House, have teamed up to       run an exciting job readiness program for 14 and 15 year old area       residents called the Summer Enrichment Program. Between June 21 and       August 31, 45 youth will spend 20 hours a week developing life management       and work ethic skills, learning the computer, visiting area colleges, and       interacting with guest speakers. The end result will be kids who have a       better understanding of and vision for their own future, be it college or       a career.       The Summer Enrichment Program will conclude with a celebration that       includes family and friends. We would like to offer our youth a small       reward for their participation by presenting them with gift certificates       from Target. Therefore, we are asking you to donate 45, $10 gift       certificates that can be used toward the purchase of school supplies or       clothing, in the total amount of $450. In return, we will recognize       Target as a sponsor during our event and in the event program.       Target is well known for it's support of the community, and we believe       that the Summer Enrichment Program represents your interests and concerns       quite well. I will be happy to supply any additional information you may       need and thank you for your consideration of our request. We look forward       to hearing from you.       Sincerely,       Valery De Long Director of Development",14,331,2249,5.16,122,"july30,1999 name address city, st zip dear mr. ratcliff: cci federation 13 neighborhood-based multi-service centers whose mission identify meet human service needs residents throughout marion county effective, efficient comprehensive way possible. in 1998, served total 31,484 low-income individuals job training placement assistance, youth senior programming, family counseling, emergency assistance, much more. as see enclosed map, target store located heart four service areas. the centers serve areas, mary rigg neighborhood center, hawthorne community center, southwest multi-service center, christamore house, teamed run exciting job readiness program 14 15 year old area residents called summer enrichment program. between june 21 august 31, 45 youth spend 20 hours week developing life management work ethic skills, learning computer, visiting area colleges, interacting guest speakers. the end result kids better understanding vision future, college career. the summer enrichment program conclude celebration includes family friends. we would like offer youth small reward participation presenting gift certificates target. therefore, asking donate 45, $10 gift certificates used toward purchase school supplies clothing, total amount $450. in return, recognize target sponsor event event program. target well known support community, believe summer enrichment program represents interests concerns quite well. i happy supply additional information may need thank consideration request. we look forward hearing you. sincerely, valery de long director development",36,3,july30 1999 name address city st zip dear mr ratcliff cci federation 13 neighborhood based multi service centers whose mission identify meet human service needs residents throughout marion county effective efficient comprehensive way possible in 1998 served total 31 484 low income individuals job training placement assistance youth senior programming family counseling emergency assistance much more as see enclosed map target store located heart four service areas the centers serve areas mary rigg neighborhood center hawthorne community center southwest multi service center christamore house teamed run exciting job readiness program 14 15 year old area residents called summer enrichment program between june 21 august 31 45 youth spend 20 hours week developing life management work ethic skills learning computer visiting area colleges interacting guest speakers the end result kids better understanding vision future college career the summer enrichment program conclude celebration includes family friends we would like offer youth small reward participation presenting gift certificates target therefore asking donate 45 10 gift certificates used toward purchase school supplies clothing total amount 450 in return recognize target sponsor event event program target well known support community believe summer enrichment program represents interests concerns quite well i happy supply additional information may need thank consideration request we look forward hearing you sincerely valery de long director development
115CVL037.txt,"      July 30, 1999       Dear Name:       Question What do you get in 987,165 hours with 291people in 15       locations?       Answer 34,700 opportunities to change a life!       This is exactly what happened in 1997 when Community Centers of       Indianapolis provided its comprehensive, neighborhood-based services to       individuals and families all over Marion County. And we can do even more       in 1999 with your financial support! Just look at the range of services       we offer:       70,0001 career assistance for youth Preschool for young children       School Age Child Care for and children and youth Access services such as       emergency and holiday assistance for all ages Adult Day Care for seniors       Senior Case Management Aids Education for youth and adults Senior Social       Involvement Computer Training for youth, adults and seniors Senior       Nutrition meal program Day Care for young children Social Development and       Recreation for children, youth and adults. HIPPY (Home Instructional       Program for Preschool Youngsters) for families. Stopover crises       counseling for youth. In Home Services for adults and seniors.       Transportation for youth and seniors       CCI is a federation of 13 neighborhood-based multi-service centers       (plus one affiliate) whose mission is to identify and meet the human       service needs of the greater Indianapolis community in the most       effective, efficient and comprehensive way possible. Better yet, most of       these services occur in cooperation with private and public agencies from       all over the city - CICOA The Access Network, Goodwill Industries,       Indianapolis Housing Agency, City of Indianapolis, Indianapolis Private       Industry Council, Family and Social Services administration, OTC, Indy       Parks, and numerous community development corporations, neighborhood       organizations, and churches, to name just a few.       More than 34,000 people benefited from our services in 1997, and the       final count for 1998 could be even higher. We're asking for a       contribution in the amount of because you can't got a better bang for       your buck than to support an organization that impacts so many lives in       so many ways. Your gift will enable CCI to provide these and other       necessary services at a neighborhood level, face-to-face, where it       counts.       Please, make a tax deductible gift to Community Centers of       Indianapolis in 1999, and know that COMPANY is playing an important part       in meeting the needs of its community. If you have any questions, please       feel free to give us a call at 638-3360. We thank you for your       consideration, and look forward to hearing from you.       Sincerely,       Earline S. Moore President       Valery De Long Director of Development",17,404,2851,5.39,143,"july 30, 1999 dear name: question what get 987,165 hours 291people 15 locations? answer 34,700 opportunities change life! this exactly happened 1997 community centers indianapolis provided comprehensive, neighborhood-based services individuals families marion county. and even 1999 financial support! just look range services offer: 70,0001 career assistance youth preschool young children school age child care children youth access services emergency holiday assistance ages adult day care seniors senior case management aids education youth adults senior social involvement computer training youth, adults seniors senior nutrition meal program day care young children social development recreation children, youth adults. hippy (home instructional program preschool youngsters) families. stopover crises counseling youth. in home services adults seniors. transportation youth seniors cci federation 13 neighborhood-based multi-service centers (plus one affiliate) whose mission identify meet human service needs greater indianapolis community effective, efficient comprehensive way possible. better yet, services occur cooperation private public agencies city - cicoa the access network, goodwill industries, indianapolis housing agency, city indianapolis, indianapolis private industry council, family social services administration, otc, indy parks, numerous community development corporations, neighborhood organizations, churches, name few. more 34,000 people benefited services 1997, final count 1998 could even higher. we're asking contribution amount can't got better bang buck support organization impacts many lives many ways. your gift enable cci provide necessary services neighborhood level, face-to-face, counts. please, make tax deductible gift community centers indianapolis 1999, know company playing important part meeting needs community. if questions, please feel free give us call 638-3360. we thank consideration, look forward hearing you. sincerely, earline s. moore president valery de long director development",62,7,july 30 1999 dear name question what get 987 165 hours 291people 15 locations answer 34 700 opportunities change life this exactly happened 1997 community centers indianapolis provided comprehensive neighborhood based services individuals families marion county and even 1999 financial support just look range services offer 70 0001 career assistance youth preschool young children school age child care children youth access services emergency holiday assistance ages adult day care seniors senior case management aids education youth adults senior social involvement computer training youth adults seniors senior nutrition meal program day care young children social development recreation children youth adults hippy home instructional program preschool youngsters families stopover crises counseling youth in home services adults seniors transportation youth seniors cci federation 13 neighborhood based multi service centers plus one affiliate whose mission identify meet human service needs greater indianapolis community effective efficient comprehensive way possible better yet services occur cooperation private public agencies city cicoa the access network goodwill industries indianapolis housing agency city indianapolis indianapolis private industry council family social services administration otc indy parks numerous community development corporations neighborhood organizations churches name few more 34 000 people benefited services 1997 final count 1998 could even higher we re asking contribution amount can t got better bang buck support organization impacts many lives many ways your gift enable cci provide necessary services neighborhood level face to face counts please make tax deductible gift community centers indianapolis 1999 know company playing important part meeting needs community if questions please feel free give us call 638 3360 we thank consideration look forward hearing you sincerely earline s moore president valery de long director development
Article247_327.txt,"            Even More ""Proving Rape""             Chatterbox feels that the Wall Street Journal editorial page's coverage of Juanita Broaddrick's rape charges against Bill Clinton (see ""Proving Rape ,"" ""More Proving Rape,"" as well as Michael Kinsley's ""Readme""column in the current issue) cries out for the introduction of the Scientific Method into the usually mushy business of assessing press responsibility. With that in mind, Chatterbox hereby inaugurates the Intellectual Dishonesty (henceforth to be known as the Indis ) Index . Here's how it works: Publications that refuse to acknowledge (even if to refute the importance of) highly significant but inconvenient facts in their news or opinion coverage of controversial events will score one point for the initial offense. They will then score one point for every subsequent issue or broadcast or Internet posting after the first offense is noted by Chatterbox if they continue not to report said inconvenient fact--and an additional two points on days when the news organization runs a follow-up without making note of said inconvenient fact. Publications receiving a score of 10 will be inducted into the Indis Hall of Fame . Publications that get all the way up to 20 will be faxed a likeness of Joseph Stalin. (Chatterbox would prefer not to invoke the phrase ""intellectual dishonesty,"" because it's pompous and falsely suggests that only intellectuals can be intellectually dishonest. But Chatterbox doesn't know any other easily understandable phrase that describes this particular kind of offense.)             For the purposes of this survey, the Wall Street Journal will be counted as a separate and distinct publication from the Journal 's editorial page, because, in essence, it is.             The Journal editorial page continues not to acknowledge that Norma Kelsey, the friend and employee to Juanita Broaddrick who is one of two people partially corroborating Broaddrick's rape accusation, is the daughter of a man whose murderer was pardoned by Gov. Bill Clinton. (A responsible account of the whole controversy in today's New York Times reports that Kelsey says the pardon had nothing to do with her corroboration.) The Journal editorial page gets one point for failing to note the pardon in its initial Op-Ed by Dorothy Rabinowitz on Feb. 19. Because it has published three times since the initial omission, it scores an additional three points. And because it published an editorial Feb. 22 taunting the rest of the press for not following it on the story--and still didn't mention the pardon--it scores an extra two points. That comes to a total of six . Chatterbox feels certain that the Journal editorial page will provide some follow-up tomorrow to tonight's NBC broadcast of its own Broaddrick interview, which means that if the Journal editorial page continues to take no action it will be in the Indis Hall of Fame by Monday at the latest!             Chatterbox considered but rejected the idea of awarding Rabinowitz bonus points for having ""eventually convinced"" Broaddrick to grant an interview to the New York Times (as the Times reports in today's story). But the Scientific Method does not permit any tinkering with the Indis Index 's scoring procedures. And besides, Rabinowitz's efforts on the Times ' behalf weren't really unethical, just puzzling, given the two newspapers' intense rivalry. When Chatterbox asked the Journal 's DC bureau chief, Alan Murray, who exercised good judgment in not breaking the Broaddrick story (and--full disclosure-- is Chatterbox's former boss), to comment about a Journal employee's feeding sources to the Times , he replied: ""I don't really have any comment on what the edit page did. They do their thing, we do ours."" Which is what Journal news employees are instructed to say whenever the editorial page causes them cringing embarrassment.             For her part, Rabinowitz explains to Chatterbox that her efforts on behalf of the Times were more indifferent than the Times made them sound. ""Ms. Broaddrick told me Sunday that a Times reporter had appeared at the house in the a.m., and that she had refused an interview,"" Rabinowitz writes in an e-mail message. ""I asked her why she had decided to talk to the New York Post 's Steve Dunleavy, and refused a Times reporter. She said Dunleavy caught her by surprise. She asked if I thought it would be all right to talk to the Times reporter. I told her it would be--certainly as all right as talking to Dunleavy. She said, 'Well, I'm sorry I didn't.' She said she would if he called again. I passed this on to [ Times reporter] Felicity Barringer during our second day's interview chat. So--that's how it happens that in the New York Times piece today I'm described--solemnly--as having 'eventually convinced' her to repeat the story to the New York Times.""                --Timothy Noah",34,782,4870,5.12,299,"even more ""proving rape"" chatterbox feels wall street journal editorial page's coverage juanita broaddrick's rape charges bill clinton (see ""proving rape ,"" ""more proving rape,"" well michael kinsley's ""readme""column current issue) cries introduction scientific method usually mushy business assessing press responsibility. with mind, chatterbox hereby inaugurates intellectual dishonesty (henceforth known indis ) index . here's works: publications refuse acknowledge (even refute importance of) highly significant inconvenient facts news opinion coverage controversial events score one point initial offense. they score one point every subsequent issue broadcast internet posting first offense noted chatterbox continue report said inconvenient fact--and additional two points days news organization runs follow-up without making note said inconvenient fact. publications receiving score 10 inducted indis hall fame . publications get way 20 faxed likeness joseph stalin. (chatterbox would prefer invoke phrase ""intellectual dishonesty,"" pompous falsely suggests intellectuals intellectually dishonest. but chatterbox know easily understandable phrase describes particular kind offense.) for purposes survey, wall street journal counted separate distinct publication journal 's editorial page, because, essence, is. the journal editorial page continues acknowledge norma kelsey, friend employee juanita broaddrick one two people partially corroborating broaddrick's rape accusation, daughter man whose murderer pardoned gov. bill clinton. (a responsible account whole controversy today's new york times reports kelsey says pardon nothing corroboration.) the journal editorial page gets one point failing note pardon initial op-ed dorothy rabinowitz feb. 19. because published three times since initial omission, scores additional three points. and published editorial feb. 22 taunting rest press following story--and still mention pardon--it scores extra two points. that comes total six . chatterbox feels certain journal editorial page provide follow-up tomorrow tonight's nbc broadcast broaddrick interview, means journal editorial page continues take action indis hall fame monday latest! chatterbox considered rejected idea awarding rabinowitz bonus points ""eventually convinced"" broaddrick grant interview new york times (as times reports today's story). but scientific method permit tinkering indis index 's scoring procedures. and besides, rabinowitz's efforts times ' behalf really unethical, puzzling, given two newspapers' intense rivalry. when chatterbox asked journal 's dc bureau chief, alan murray, exercised good judgment breaking broaddrick story (and--full disclosure-- chatterbox's former boss), comment journal employee's feeding sources times , replied: ""i really comment edit page did. they thing, ours."" which journal news employees instructed say whenever editorial page causes cringing embarrassment. for part, rabinowitz explains chatterbox efforts behalf times indifferent times made sound. ""ms. broaddrick told sunday times reporter appeared house a.m., refused interview,"" rabinowitz writes e-mail message. ""i asked decided talk new york post 's steve dunleavy, refused times reporter. she said dunleavy caught surprise. she asked i thought would right talk times reporter. i told would be--certainly right talking dunleavy. she said, 'well, i'm sorry i didn't.' she said would called again. i passed [ times reporter] felicity barringer second day's interview chat. so--that's happens new york times piece today i'm described--solemnly--as 'eventually convinced' repeat story new york times."" --timothy noah",8,9,even more proving rape chatterbox feels wall street journal editorial page s coverage juanita broaddrick s rape charges bill clinton see proving rape more proving rape well michael kinsley s readme column current issue cries introduction scientific method usually mushy business assessing press responsibility with mind chatterbox hereby inaugurates intellectual dishonesty henceforth known indis index here s works publications refuse acknowledge even refute importance of highly significant inconvenient facts news opinion coverage controversial events score one point initial offense they score one point every subsequent issue broadcast internet posting first offense noted chatterbox continue report said inconvenient fact and additional two points days news organization runs follow up without making note said inconvenient fact publications receiving score 10 inducted indis hall fame publications get way 20 faxed likeness joseph stalin chatterbox would prefer invoke phrase intellectual dishonesty pompous falsely suggests intellectuals intellectually dishonest but chatterbox know easily understandable phrase describes particular kind offense for purposes survey wall street journal counted separate distinct publication journal s editorial page because essence is the journal editorial page continues acknowledge norma kelsey friend employee juanita broaddrick one two people partially corroborating broaddrick s rape accusation daughter man whose murderer pardoned gov bill clinton a responsible account whole controversy today s new york times reports kelsey says pardon nothing corroboration the journal editorial page gets one point failing note pardon initial op ed dorothy rabinowitz feb 19 because published three times since initial omission scores additional three points and published editorial feb 22 taunting rest press following story and still mention pardon it scores extra two points that comes total six chatterbox feels certain journal editorial page provide follow up tomorrow tonight s nbc broadcast broaddrick interview means journal editorial page continues take action indis hall fame monday latest chatterbox considered rejected idea awarding rabinowitz bonus points eventually convinced broaddrick grant interview new york times as times reports today s story but scientific method permit tinkering indis index s scoring procedures and besides rabinowitz s efforts times behalf really unethical puzzling given two newspapers intense rivalry when chatterbox asked journal s dc bureau chief alan murray exercised good judgment breaking broaddrick story and full disclosure chatterbox s former boss comment journal employee s feeding sources times replied i really comment edit page did they thing ours which journal news employees instructed say whenever editorial page causes cringing embarrassment for part rabinowitz explains chatterbox efforts behalf times indifferent times made sound ms broaddrick told sunday times reporter appeared house a m refused interview rabinowitz writes e mail message i asked decided talk new york post s steve dunleavy refused times reporter she said dunleavy caught surprise she asked i thought would right talk times reporter i told would be certainly right talking dunleavy she said well i m sorry i didn t she said would called again i passed times reporter felicity barringer second day s interview chat so that s happens new york times piece today i m described solemnly as eventually convinced repeat story new york times timothy noah
